;Ingredient;Quantity
0;Barbecued Chicken;91
1;Red Peppers;605
2;Green Peppers;189
3;Tomatoes;1006
4;Red Onions;728
5;Barbecue Sauce;91
6;Chicken;328
7;Artichoke;85
8;Spinach;342
9;Garlic;1072
10;Jalapeno Peppers;225
11;Fontina Cheese;118
12;Gouda Cheese;85
13;Mushrooms;323
14;Asiago Cheese;120
15;Alfredo Sauce;33
16;Pesto Sauce;96
17;Corn;136
18;Cilantro;136
19;Chipotle Sauce;136
20;Pineapple;176
21;Thai Sweet Chilli Sauce;95
22;Bacon;108
23;Pepperoni;324
24;Italian Sausage;33
25;Chorizo Sausage;33
26;Sliced Ham;80
27;Mozzarella Cheese;402
28;Capocollo;263
29;Goat Cheese;134
30;Oregano;53
31;Anchovies;50
32;Green Olives;214
33;Kalamata Olives;128
34;Feta Cheese;173
35;Beef Chuck Roast;65
36;Brie Carre Cheese;8
37;Prosciutto;8
38;Caramelized Onions;8
39;Pears;8
40;Thyme;8
41;Nduja Salami;35
42;Pancetta;35
43;Friggitello Peppers;35
44;Calabrese Salami;70
45;Genoa Salami;56
46;Prosciutto di San Daniele;49
47;Arugula;49
48;Coarse Sicilian Salami;62
49;Luganega Sausage;62
50;Onions;62
51;Soppressata Salami;33
52;Artichokes;204
53;Peperoncini verdi;78
54;Provolone Cheese;72
55;Smoked Gouda Cheese;72
56;Romano Cheese;72
57;Blue Cheese;72
58;Ricotta Cheese;86
59;Gorgonzola Piccante Cheese;86
60;Parmigiano Reggiano Cheese;86
61;Eggplant;32
62;Zucchini;84
63;Sun-dried Tomatoes;63
64;Plum Tomatoes;34
